id;ma_cqbh;ten;dia_chi;ma_xa;ma_huyen;ma_tinh;email_acc;phone_numeric;status;active_date;inactive_date;ma_cqbh_cha;nguoi_ky;chuc_danh;ten_noi_ky;is_active;path;ngay_khoa;so_qd_tl;ngay_qd_tl;cq_ky_qd
1;deposit COM Estonia;Bahamas;extensible Locks;parse program;deposit;Chicken;hack;Quality-focused Avon Minnesota;Harbor Home Loan Account Multi-lateral;49715;74762;Cotton generate;Quality withdrawal object-oriented;Sausages;5th generation Cotton;69891;Engineer Colorado Ergonomic Cotton Fish;7626;Oman panel;12597;pixel Re-engineered
2;Cambridgeshire New Zealand Dollar;capacitor Borders CFA Franc BEAC;Soap matrix;payment infrastructure viral;leading-edge 4th generation Fantastic;cross-media capacitor;Brand;hack Investment Account;Refined Wooden back up;53496;73871;Handmade Steel Towels directional encryption;robust circuit;program navigate;mission-critical digital;33075;parsing;27182;Balboa US Dollar generating;81734;Small generating invoice
3;Investment Account indexing indexing;Checking Account Beauty systematic;Florida;invoice;Program optical Route;Fantastic Fresh Pants Personal Loan Account;programming backing up;Rue;Designer New Mexico Guinea Franc;18490;87875;demand-driven 24/7;streamline rich deposit;gold Representative RSS;Berkshire Tenge hacking;83442;Identity yellow;47799;task-force;39604;compressing Marshall Islands Refined
4;Operations web-readiness;solid state Functionality;Phased;Bedfordshire;Mission;deposit global recontextualize;Auto Loan Account transmitter cyan;productivity New Mexico;Keyboard Virtual Games;14318;93271;Loaf override;Ameliorated SQL;open-source Refined;transmit overriding Concrete;75946;Awesome Georgia;87653;extensible;15133;Lithuania Mauritania orchid
5;methodologies;bandwidth 3rd generation Plastic;Squares e-business Representative;Supervisor;RAM;Saint Pierre and Miquelon driver Crest;back-end internet solution Response;Parkway;cross-platform Human;71003;19555;ROI;holistic;Mauritius Rupee;payment Games violet;45708;Svalbard & Jan Mayen Islands Practical;62516;Bike Nebraska;22042;navigate withdrawal port
6;actuating Skyway synergistic;envisioneer plum;Agent expedite;Refined;JSON convergence;payment sensor Steel;Fish hacking Ville;generating Extension;Falkland Islands Pound Norfolk Island Cambridgeshire;47096;74491;Team-oriented user-facing;Functionality haptic;Harbors deposit Response;mobile;39310;Intelligent firewall Research;90444;Executive;81469;project
7;back up;Handcrafted Frozen Chicken Borders focus group;Sausages internet solution magenta;Research invoice;Credit Card Account;optical;back-end Awesome Granite Mouse Chips;National Cambridgeshire Investment Account;Associate;33302;38936;24/365;salmon;rich copy;Metal bandwidth Strategist;69439;B2C;49769;open-source Minnesota Kids;67650;Right-sized Incredible
8;copy Accounts;XSS driver;Avon Holy See (Vatican City State);Village;Kids Rhode Island;program bypassing copying;microchip Borders;navigating;Berkshire New York;61906;68818;Saint Kitts and Nevis extranet;Sports;digital Idaho;Brand Loaf Home Loan Account;47872;Bedfordshire Producer;9852;Salad Rustic;76313;technologies Devolved
9;Sausages;Buckinghamshire;compress interactive;1080p Steel;standardization;Associate homogeneous;Shoes Fundamental invoice;Gorgeous;niches deposit deploy;4698;19914;Checking Account;hub engineer maximized;Security Facilitator National;withdrawal Manager Granite;64776;monitor;9988;Cambridgeshire Auto Loan Account;80390;e-business
10;Home Rhode Island;feed redundant reboot;Lari optical;Table;synergies Organized;ivory Unbranded Cotton Tuna;reintermediate mint green transmit;Money Market Account calculate;Wyoming Exclusive;95308;17529;Supervisor;hack;portals Meadows bandwidth;SQL seize;26337;Manager Regional Soap;92743;Sports;37806;Intelligent Metal Gloves Tuna
